date,next_open,next_close,diff,up_indicator
2015-03-02,273.39,281.54,8.150000000000034,1
2015-03-03,281.54,272.44,-9.100000000000023,0
2015-03-04,272.44,275.27,2.829999999999984,1
2015-03-05,275.27,272.82,-2.4499999999999886,0
2015-03-06,272.82,274.81,1.990000000000009,1
2015-03-07,274.81,274.01,-0.8000000000000114,0
2015-03-08,274.01,290.51,16.5,1
2015-03-09,290.51,290.36,-0.14999999999997726,0
2015-03-10,290.36,295.51,5.149999999999977,1
2015-03-11,295.51,294.75,-0.7599999999999909,0
2015-03-12,294.75,286.98,-7.769999999999982,0
2015-03-13,286.98,281.99,-4.990000000000009,0
2015-03-14,281.99,285.23,3.240000000000009,1
2015-03-15,285.23,290.72,5.490000000000009,1
2015-03-16,290.72,285.73,-4.990000000000009,0
2015-03-17,285.73,256.23,-29.5,0
2015-03-18,256.23,261.3,5.069999999999993,1
2015-03-19,261.3,261.77,0.46999999999997044,1
2015-03-20,261.77,259.87,-1.8999999999999773,0
2015-03-21,259.87,268.66,8.79000000000002,1
2015-03-22,268.66,265.53,-3.1300000000000523,0
2015-03-23,265.53,246.7,-18.829999999999984,0
2015-03-24,246.7,246.74,0.040000000000020464,1
2015-03-25,246.74,248.09,1.3499999999999943,1
2015-03-26,248.09,247.37,-0.7199999999999989,0
2015-03-27,247.37,252.41,5.039999999999992,1
2015-03-28,252.41,242.32,-10.090000000000003,0
2015-03-29,242.32,247.16,4.840000000000003,1
2015-03-30,247.16,244.27,-2.8899999999999864,0
2015-03-31,244.27,246.76,2.4899999999999807,1
2015-04-01,246.76,252.98,6.219999999999999,1
2015-04-02,252.98,254.6,1.6200000000000045,1
2015-04-03,254.6,254.09,-0.5099999999999909,0
2015-04-04,254.09,259.79,5.700000000000017,1
2015-04-05,259.79,255.64,-4.150000000000034,0
2015-04-06,255.64,254.39,-1.25,0
2015-04-07,254.39,244.85,-9.539999999999992,0
2015-04-08,244.85,243.23,-1.6200000000000045,0
2015-04-09,243.23,234.77,-8.45999999999998,0
2015-04-10,234.77,236.9,2.1299999999999955,1
2015-04-11,236.9,236.03,-0.8700000000000045,0
2015-04-12,236.03,223.78,-12.25,0
2015-04-13,223.78,218.23,-5.550000000000011,0
2015-04-14,218.23,223.06,4.8300000000000125,1
2015-04-15,223.06,228.55,5.490000000000009,1
2015-04-16,228.55,222.79,-5.760000000000019,0
2015-04-17,222.79,223.64,0.8499999999999943,1
2015-04-18,223.64,223.24,-0.39999999999997726,0
2015-04-19,223.24,224.49,1.25,1
2015-04-20,224.49,233.95,9.45999999999998,1
2015-04-21,233.95,234.18,0.2300000000000182,1
2015-04-22,234.18,235.51,1.329999999999984,1
2015-04-23,235.51,231.52,-3.9899999999999807,0
2015-04-24,231.52,226.07,-5.450000000000017,0
2015-04-25,226.07,219.09,-6.97999999999999,0
2015-04-26,219.09,228.29,9.199999999999989,1
2015-04-27,228.29,225.22,-3.069999999999993,0
2015-04-28,225.22,225.32,0.09999999999999432,1
2015-04-29,225.32,236.05,10.730000000000018,1
2015-04-30,236.05,233.07,-2.980000000000018,0
2015-05-01,233.07,235.49,2.420000000000016,1
2015-05-02,235.49,240.17,4.679999999999978,1
2015-05-03,240.17,239.06,-1.1099999999999852,0
2015-05-04,239.06,236.03,-3.030000000000001,0
2015-05-05,236.03,229.94,-6.090000000000003,0
2015-05-06,229.94,237.87,7.930000000000007,1
2015-05-07,237.87,243.64,5.769999999999982,1
2015-05-08,243.64,241.36,-2.2799999999999727,0
2015-05-09,241.36,239.97,-1.3900000000000148,0
2015-05-10,239.97,242.31,2.3400000000000034,1
