week_number,open_next,close_next,diff_next,indicator
118,979.62,1128.98,149.36,1
119,1128.98,1205.37,76.38999999999987,1
120,1205.37,1178.51,-26.8599999999999,0
121,1178.51,1246.51,68.0,1
122,1246.51,1375.78,129.26999999999998,1
123,1375.78,1593.63,217.85000000000014,1
124,1593.63,1729.08,135.44999999999982,1
125,1729.08,2157.26,428.1800000000003,1
126,2157.26,2200.18,42.91999999999962,1
127,2200.18,2587.54,387.3600000000001,1
128,2587.54,2940.84,353.3000000000002,1
129,2940.84,2597.97,-342.87000000000035,0
130,2597.97,2501.32,-96.64999999999964,0
131,2501.32,2526.38,25.059999999999945,1
132,2526.38,2516.95,-9.430000000000291,0
133,2516.95,2026.39,-490.5599999999997,0
134,2026.39,2728.81,702.4199999999998,1
135,2728.81,2750.62,21.809999999999945,1
136,2750.62,3251.68,501.05999999999995,1
137,3251.68,4090.43,838.75,1
138,4090.43,4003.22,-87.21000000000004,0
139,4003.22,4256.52,253.30000000000064,1
140,4256.52,4530.51,273.9899999999998,1
141,4530.51,4185.54,-344.97000000000025,0
142,4185.54,3929.42,-256.1199999999999,0
143,3929.42,3778.45,-150.97000000000025,0
144,3778.45,4448.85,670.4000000000005,1
145,4448.85,4557.54,108.6899999999996,1
146,4557.54,5660.42,1102.88,1
147,5660.69,5861.65,200.96000000000004,1
148,5861.65,6138.15,276.5,1
149,6138.15,7313.01,1174.8600000000006,1
150,7314.19,6297.43,-1016.7599999999993,0
151,6296.33,8027.09,1730.7600000000002,1
152,8027.09,9644.21,1617.119999999999,1
153,9643.66,11452.31,1808.6499999999996,1
154,11452.34,16719.11,5266.77,1
155,16719.11,18964.87,2245.7599999999984,1
156,18964.87,13714.7,-5250.169999999998,0
157,13714.7,13850.58,135.8799999999992,1
158,13848.13,15857.27,2009.1400000000012,1
159,15856.74,13794.78,-2061.959999999999,0
160,13793.17,11644.3,-2148.870000000001,0
161,11643.97,11344.36,-299.60999999999876,0
162,11344.8,8094.1,-3250.699999999999,0
163,8094.03,8435.95,341.920000000001,1
164,8435.79,10508.12,2072.33,1
165,10508.15,9452.48,-1055.67,0
166,9452.48,11546.05,2093.5699999999997,1
167,11546.19,9609.7,-1936.4899999999998,0
168,9609.65,8297.23,-1312.42,0
169,8297.23,8467.12,169.89000000000124,1
170,8467.12,6911.01,-1556.1100000000006,0
171,6911.01,7145.3,234.28999999999996,1
172,7145.32,8116.1,970.7800000000007,1
173,8116.11,8931.33,815.2200000000003,1
174,8933.48,9312.26,378.78000000000065,1
175,9313.01,9370.51,57.5,1
176,9370.22,8397.69,-972.5299999999988,0
177,8397.73,8559.76,162.03000000000065,1
178,8559.76,7229.84,-1329.92,0
179,7229.84,7596.56,366.72000000000025,1
180,7596.73,6753.58,-843.1499999999996,0
181,6753.58,6455.55,-298.02999999999975,0
182,6455.6,6177.03,-278.5700000000006,0
183,6177.03,6306.65,129.6199999999999,1
184,6306.65,6714.61,407.96000000000004,1
185,6714.66,6381.1,-333.5599999999995,0
186,6381.1,7677.81,1296.71,1
187,7677.81,8137.26,459.4499999999998,1
188,8137.26,7088.41,-1048.8500000000004,0
189,7090.32,6427.08,-663.2399999999998,0
190,6427.25,6456.24,28.98999999999978,1
191,6456.5,6734.2,277.6999999999998,1
192,6736.4,7253.2,516.8000000000002,1
193,7253.22,6329.53,-923.6900000000005,0
194,6329.53,6492.49,162.96000000000004,1
195,6492.42,6645.91,153.48999999999978,1
196,6645.91,6630.55,-15.359999999999673,0
197,6630.56,6585.43,-45.13000000000011,0
198,6585.43,7044.61,459.1799999999994,1
199,7044.61,6521.31,-523.2999999999993,0
200,6521.74,6475.53,-46.210000000000036,0
201,6475.86,6452.65,-23.210000000000036,0
202,6452.65,6404.6,-48.04999999999927,0
203,6404.6,5444.67,-959.9300000000003,0
204,5444.56,4102.49,-1342.0700000000006,0
205,4102.49,4003.09,-99.39999999999964,0
206,4003.09,3538.41,-464.6800000000003,0
207,3538.41,3274.09,-264.3199999999997,0
208,3274.09,4250.64,976.5500000000002,1
209,4250.64,3850.4,-400.24000000000024,0
210,3850.4,4087.62,237.2199999999998,1
211,4087.62,3579.81,-507.80999999999995,0
212,3579.81,3568.81,-11.0,0
213,3568.81,3462.74,-106.07000000000016,0
214,3462.74,3450.64,-12.099999999999909,0
215,3450.64,3630.13,179.49000000000024,1
